pair	IBD1_len	IBD2_len	R1	R2	Num_Segs	Total_len	target1	target2	real_kinship	kinship	kinship_considered_hs
[17-1_vs_19-1]	166.978616	0	1.0	0.0	14	166.978616	12.5	F-C_HS	C-3a(FC)_HS	UN	4
[17-1_vs_19-2]	159.18307	0	1.0	0.0	13	159.18307	unrelated	unrelated		UN	UN
[17-1_vs_20-1]	142.997904	0	1.0	0.0	12	142.997904	12.5	F-C_HS	C-3a(FC)_HS	UN	4
[17-1_vs_20-2]	142.997904	0	1.0	0.0	12	142.997904	unrelated	unrelated		UN	UN
[17-1_vs_21-1]	122.967979	0	1.0	0.0	11	122.967979	12.5	F-C_HS	C-3a(FC)_HS	UN	4
[17-1_vs_21-2]	126.507918	0	1.0	0.0	11	126.507918	unrelated	unrelated		UN	UN
[17-1_vs_22-1]	116.234341	0	1.0	0.0	9	116.234341	12.5	F-C_HS	C-3a(FC)_HS	UN	4
[17-1_vs_22-2]	112.537792	0	1.0	0.0	9	112.537792	unrelated	unrelated		UN	UN
[17-1_vs_22-593-1-saliva]	6.806854	0	1.0	0.0	1	6.806854	unrelated	unrelated		UN	UN
[17-1_vs_22-593-2-saliva]	6.608173	0	1.0	0.0	1	6.608173	unrelated	unrelated		UN	UN
[17-1_vs_22-650-1-blood]	7.584641	0	1.0	0.0	1	7.584641	unrelated	unrelated		UN	UN
[17-1_vs_22-650-2-blood]	34.210812	0	1.0	0.0	5	34.210812	unrelated	unrelated		UN	UN
[17-1_vs_23-1]	142.519045	0	1.0	0.0	14	142.519045	12.5	F-C_HS	C-3a(FC)_HS	UN	4
[17-1_vs_23-2]	168.262261	0	1.0	0.0	18	168.262261	unrelated	unrelated		UN	UN
[17-1_vs_24-1]	74.460264	0	1.0	0.0	8	74.460264	12.5	F-C_HS	C-3a(FC)_HS	UN	4
[17-1_vs_24-2]	73.917531	0	1.0	0.0	8	73.917531	unrelated	unrelated		UN	UN
[17-1_vs_25-1]	153.885273	0	1.0	0.0	13	153.885273	12.5	F-C_HS	C-3a(FC)_HS	UN	4
[17-1_vs_25-2]	146.448591	0	1.0	0.0	12	146.448591	unrelated	unrelated		UN	UN
[17-1_vs_26-1]	85.750985	0	1.0	0.0	7	85.750985	6.25	FCOR_HS		UN	4
[17-1_vs_27-1]	98.744293	0	1.0	0.0	11	98.744293	6.25	FCOR_HS		UN	4
[17-1_vs_28-1]	38.958805	0	1.0	0.0	4	38.958805	6.25	FCOR_HS		UN	4
