pair	IBD1_len	IBD2_len	R1	R2	Num_Segs	Total_len	target1	target2	real_kinship	kinship	kinship_considered_hs
[4-1_vs_46-2]	67.820951	0	1.0	0.0	23	67.820951	unrelated	unrelated		UN	UN
[4-1_vs_47-1]	39.030526	0	1.0	0.0	17	39.030526	unrelated	unrelated	UN	UN	UN
[4-1_vs_47-2]	42.121297	0	1.0	0.0	18	42.121297	unrelated	unrelated		UN	UN
[4-1_vs_48-1]	36.114752	0	1.0	0.0	15	36.114752	unrelated	unrelated	UN	UN	UN
[4-1_vs_48-2]	35.876775	0	1.0	0.0	15	35.876775	unrelated	unrelated		UN	UN
[4-1_vs_49-1]	50.219661	0	1.0	0.0	22	50.219661	unrelated	unrelated	UN	UN	UN
[4-1_vs_49-2]	30.981348	0	1.0	0.0	17	30.981348	unrelated	unrelated		UN	UN
[4-1_vs_5-1]	2047.261803	0	1.0	0.0	221	2047.261803	50.0	FS	C-1(FS)	2	2
[4-1_vs_5-2]	2048.518152	0	1.0	0.0	218	2048.518152	unrelated	unrelated		UN	UN
[4-1_vs_6-1]	1573.457904	0	1.0	0.0	223	1573.457904	50.0	FS	C-1(FS)	2	2
[4-1_vs_6-2]	1575.80844	0	1.0	0.0	228	1575.80844	unrelated	unrelated		UN	UN
[4-1_vs_7-1]	272.383395	0	1.0	0.0	68	272.383395	12.5	F-C	C-3a(FC)	4	4
[4-1_vs_7-2]	264.189379	0	1.0	0.0	66	264.189379	unrelated	unrelated		UN	UN
[4-1_vs_8-1]	312.004492	0	1.0	0.0	76	312.004492	12.5	F-C	C-3a(FC)	4	4
[4-1_vs_8-2]	288.001266	0	1.0	0.0	77	288.001266	unrelated	unrelated		UN	UN
[4-1_vs_9-1]	135.198434	0	1.0	0.0	46	135.198434	12.5	F-C	C-3a(FC)	4	4
[4-1_vs_9-2]	136.72399099999998	0	1.0	0.0	47	136.72399099999998	unrelated	unrelated		UN	UN
[4-2_vs_10-1]	408.010653	0	1.0	0.0	112	408.010653	unrelated	unrelated		UN	UN
[4-2_vs_10-2]	411.486905	0	1.0	0.0	113	411.486905	unrelated	unrelated		UN	UN
[4-2_vs_11-2]	481.834922	0	1.0	0.0	127	481.834922	unrelated	unrelated		UN	UN
[4-2_vs_12-1]	175.341284	0	1.0	0.0	56	175.341284	unrelated	unrelated		UN	UN
[4-2_vs_12-2]	175.40189	0	1.0	0.0	57	175.40189	unrelated	unrelated		UN	UN
[4-2_vs_13-1]	172.498974	0	1.0	0.0	57	172.498974	unrelated	unrelated		UN	UN
[4-2_vs_13-2]	171.228808	0	1.0	0.0	57	171.228808	unrelated	unrelated		UN	UN
[4-2_vs_14-1]	176.651094	0	1.0	0.0	60	176.651094	unrelated	unrelated		UN	UN
[4-2_vs_14-2]	189.061283	0	1.0	0.0	62	189.061283	unrelated	unrelated		UN	UN
[4-2_vs_15-1]	1010.287921	0	1.0	0.0	236	1010.287921	unrelated	unrelated		UN	UN
[4-2_vs_15-2]	1036.203236	0	1.0	0.0	245	1036.203236	unrelated	unrelated		UN	UN
[4-2_vs_16-1]	1029.667627	0	1.0	0.0	231	1029.667627	unrelated	unrelated		UN	UN
[4-2_vs_16-2]	1054.935259	0	1.0	0.0	236	1054.935259	unrelated	unrelated		UN	UN
[4-2_vs_17-1]	517.7981130000001	0	1.0	0.0	136	517.7981130000001	unrelated	unrelated		UN	UN
[4-2_vs_17-2]	506.789137	0	1.0	0.0	135	506.789137	unrelated	unrelated		UN	UN
[4-2_vs_18-1]	494.850552	0	1.0	0.0	142	494.850552	unrelated	unrelated		UN	UN
[4-2_vs_18-2]	490.433428	0	1.0	0.0	140	490.433428	unrelated	unrelated		UN	UN
[4-2_vs_19-1]	1808.289959	0	1.0	0.0	403	1808.289959	unrelated	unrelated		UN	UN
[4-2_vs_19-2]	1804.699105	0	1.0	0.0	398	1804.699105	unrelated	unrelated		UN	UN
[4-2_vs_20-1]	829.77167	0	1.0	0.0	225	829.77167	unrelated	unrelated		UN	UN
